,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
175,5242,670280,David Bednar,5242,2246.0,90.4,90.78,6.53,29.9,96,7.4,5.85,-2.08,38.5,0
176,8366,605280,Clay Holmes,8414,2268.0,91.3,90.71,5.95,22.6,209,9.7,6.43,-0.91,45.5,0
177,377,605476,Carson Smith,377,2460.0,88.6,87.64,5.74,27.5,8,8.8,5.28,-1.81,,0
178,142,676709,Ty Tice,142,2350.0,89.0,89.07,6.2,15.4,5,12.8,5.12,-2.24,39.0,0
179,101,656896,Emmanuel Rivera,101,1659.0,63.0,61.03,4.59,0.0,2,6.1,5.93,-1.96,19.5,0
180,191,605169,Carter Capps,192,2312.0,87.8,89.88,7.6,14.3,2,4.1,4.99,-3.77,,0
181,20,664789,Ka'ai Tom,20,1826.0,69.5,68.7,5.39,0.0,0,0.0,5.71,-1.28,40.0,0
182,207,431148,Scott Kazmir,207,1914.0,88.0,87.44,5.88,18.5,5,9.3,5.89,0.84,47.8,0
183,142,676709,Ty Tice,142,2350.0,89.0,89.07,6.2,15.4,5,12.8,5.12,-2.24,39.0,0
184,1216,594311,Jandel Gustave,1218,2367.0,92.8,92.14,5.78,17.6,30,9.4,5.46,-1.7,29.4,0
185,904,643466,Harrison Musgrave,904,2338.0,87.2,86.91,5.86,19.2,26,11.4,5.98,1.95,,0
186,6676,664062,Tony Gonsolin,6676,2200.0,88.2,87.71,5.94,23.2,147,8.8,6.18,-0.9,44.2,1
187,4821,502202,Brad Boxberger,4821,2101.0,88.4,87.45,5.62,27.8,121,10.4,5.67,-1.71,36.1,0
188,280,622783,Sandy Báez,280,2127.0,90.6,89.58,5.69,14.3,8,11.4,5.8,-2.06,,0
189,7059,663474,Triston McKenzie,7059,2234.0,88.2,89.03,6.75,25.6,178,9.9,6.4,-1.9,51.6,0
190,13470,547179,Michael Lorenzen,13513,2369.0,90.1,89.29,5.8,19.9,306,8.8,5.83,-1.72,40.4,0
191,3024,572362,Robbie Erlin,3054,2211.0,86.0,85.41,5.95,20.3,34,4.2,5.82,2.34,47.4,0
192,540,606478,Pedro Araújo,541,2163.0,88.5,87.98,6.05,21.8,19,14.3,5.97,-1.55,,0
193,21,657041,Lane Thomas,21,1694.0,76.2,74.69,5.23,16.7,0,0.0,6.13,-1.19,42.7,0
194,8,650339,Jermaine Palacios,8,1761.0,74.9,73.1,4.9,33.3,0,0.0,6.01,-2.12,23.7,0
195,20,675971,Kyle Dohy,20,1985.0,88.9,89.69,6.85,20.0,1,20.0,5.41,1.67,38.3,0
196,30,434563,Carlos Ruiz,30,1818.0,80.4,78.14,4.89,14.3,2,28.6,6.12,-1.48,,0
197,568,640463,Braden Shipley,569,2058.0,88.3,87.32,5.75,15.0,16,11.4,6.02,-2.02,,0
198,211,571912,Luke Maile,211,1718.0,66.4,65.33,5.51,5.0,1,1.7,6.28,-1.91,41.3,0
199,560,656786,Parker Mushinski,560,2575.0,86.2,86.52,6.55,17.4,12,8.1,5.6,0.88,46.6,0
200,2891,605121,Justin Anderson,2910,2310.0,90.3,90.46,6.36,26.2,101,14.6,5.84,-2.55,35.7,0
201,2243,678606,Jose A. Ferrer,2243,2133.0,94.5,93.86,6.02,20.4,32,5.4,5.86,2.98,33.3,0
202,6052,657612,Tim Hill,6064,2131.0,89.0,89.37,6.77,16.9,105,6.4,3.0,3.94,-18.3,0
203,1167,573046,Mike Morin,1174,1831.0,82.8,83.4,6.54,14.9,15,4.6,5.96,-1.57,42.5,0
204,3323,453192,Andrew Miller,3372,2361.0,86.0,86.9,6.73,31.2,80,9.6,5.41,2.25,14.3,0
205,133,644429,Anderson Severino,133,2009.0,91.9,91.63,6.11,26.5,4,11.8,5.68,1.51,42.9,0
206,3373,674370,Osvaldo Bido,3376,2274.0,90.6,90.49,6.31,20.9,79,9.2,5.89,-2.26,35.2,0
207,1345,677958,Kumar Rocker,1345,2159.0,90.9,91.74,6.84,20.5,29,8.5,5.68,-2.2,30.4,0
208,104,620396,Miguel Aguilar,104,2237.0,88.1,87.61,5.99,10.7,3,10.7,5.41,1.01,42.0,0
209,1327,572703,Luke Bard,1351,2740.0,89.2,88.79,5.98,20.6,21,6.4,5.62,-1.85,35.0,0
210,1713,669395,Dylan Coleman,1713,2457.0,91.0,91.55,6.6,24.3,56,13.6,5.84,-2.03,34.3,0
211,136,646241,Enmanuel De Jesus,136,2246.0,88.5,87.85,5.97,14.7,4,11.8,5.79,2.35,40.5,0
212,22931,450203,Charlie Morton,22945,2535.0,88.4,87.85,6.05,26.9,514,8.8,5.53,-2.23,21.7,0
213,7921,663460,Kris Bubic,7922,2145.0,86.4,86.99,6.64,21.9,185,9.1,5.7,1.68,41.3,1
214,3341,593140,Michael Feliz,3342,2253.0,91.7,92.04,6.48,28.7,82,10.4,6.39,-1.76,54.2,0
215,573,502046,Jeff Locke,574,1802.0,86.1,85.28,5.73,17.4,12,8.1,5.84,1.72,,0
