,pitches,player_id,player_name,total_pitches,spin_rate,velocity,effective_speed,release_extension,k_percent,bb,bb_percent,release_pos_z,release_pos_x,arm_angle,injuries
1000,3817,596043,Daniel Mengden,3823,2155.0,86.7,86.74,6.31,16.2,70,7.0,5.93,-0.93,51.4,0
1001,112,460269,Chris Gimenez,112,1730.0,69.4,68.51,5.73,5.4,1,2.7,6.61,-1.5,,0
1002,42,608596,Tom Murphy,42,2186.0,86.9,86.24,5.7,18.2,1,9.1,5.97,-1.78,,0
1003,7531,607067,Colin Rea,7532,2122.0,88.9,89.47,6.61,19.6,126,6.4,5.6,-1.91,34.1,0
1004,17885,640455,Sean Manaea,17920,1873.0,87.8,88.79,6.92,23.1,307,6.7,5.5,3.17,26.1,0
1005,5797,518553,Steve Cishek,5799,2336.0,85.0,86.73,7.42,23.9,136,9.7,4.11,-3.44,4.4,0
1006,62,683822,Naoyuki Uwasawa,62,1719.0,85.9,85.85,6.28,20.0,1,6.7,6.26,-2.04,50.6,0
1007,176,684974,Craig Yoho,176,2370.0,83.8,84.14,6.76,17.1,9,22.0,4.98,-2.91,18.5,0
1008,12836,489119,Wade Miley,12952,2172.0,85.8,85.33,5.93,18.0,297,9.2,6.34,1.75,52.0,0
1009,1833,407822,Jorge De La Rosa,1849,1816.0,87.9,86.58,5.49,20.3,40,8.8,5.96,2.54,,0
1010,1861,669459,Kyle Nelson,1861,2482.0,87.3,86.9,5.96,23.2,43,8.7,5.62,0.82,41.4,0
1011,6609,543022,Tyler Chatwood,6620,2501.0,91.4,91.04,5.99,20.5,236,14.1,5.58,-2.03,48.8,0
1012,452,657205,Zac Curtis,452,2153.0,89.8,88.66,5.62,21.2,20,17.7,5.0,2.61,,0
1013,3024,572362,Robbie Erlin,3054,2211.0,86.0,85.41,5.95,20.3,34,4.2,5.82,2.34,47.4,0
1014,687,600944,David Paulino,689,2295.0,86.1,85.79,6.22,24.5,9,5.5,6.93,-1.61,56.4,0
1015,1667,594986,Kyle Ryan,1667,2075.0,87.2,87.29,6.24,18.9,44,10.7,5.66,4.3,28.1,0
1016,743,670456,JD Hammer,743,2371.0,89.8,89.06,5.87,20.0,23,13.1,6.02,-2.24,39.8,0
1017,44,642215,Weston Wilson,44,1458.0,51.3,49.54,4.53,0.0,0,0.0,6.68,-1.29,29.1,0
1018,3409,621051,Steven Wilson,3409,2497.0,87.0,87.59,6.75,23.6,86,10.4,5.6,-2.24,43.6,0
1019,609,687362,Connor Gillispie,609,2366.0,86.9,86.16,5.87,20.0,16,10.3,5.53,-1.84,41.4,0
